Country,Year,GghExclLandForestry,GhgInclLandForestry,COExclLandForestry,GhgEmissionCH4,GhgEmissionN2O,GhgEmissionFgas,GhgEmissionEnergy,GhgEmissionIndustrial,GhgEmissionAgri,GhgEmissionWaste,CO2EmissionLUCF,CO2EmissionBunkerFuels,CO2EmissionElectricity,CO2EmissionManufacturing,CO2EmissionTransportation,GghEmissionFuel,GhgEmissionFugitive,Population,GDPUSDMillion2005,GDPUSDMillion2005,Energy,Temperature
Albania,1990,11.41,11.52,6.62,3.60,1.18,0.00,8.08,0.39,2.39,0.55,0.11,0.00,0.75,2.76,0.70,3.09,0.78,3446882,14636.55463,5620.43232,2672.799,0.795
Albania,1991,9.19,9.30,4.68,3.39,1.12,0.00,5.89,0.32,2.43,0.56,0.11,0.00,0.56,2.00,0.53,2.16,0.64,3459763,10305.74482,3957.402732,1871.158,-0.269
Albania,1992,7.07,7.18,2.83,3.18,1.07,0.00,3.92,0.11,2.47,0.56,0.11,0.00,0.42,1.34,0.40,1.26,0.49,3446858,9563.731192,3672.469735,1358.193,0.106
Albania,1993,6.28,6.40,2.31,2.96,1.01,0.00,3.10,0.11,2.51,0.57,0.11,0.00,0.56,0.77,0.50,0.92,0.35,3417280,10481.84939,4025.02683,1330.865,0.076
Albania,1994,6.10,6.22,2.39,2.75,0.95,0.00,2.92,0.07,2.55,0.57,0.12,0.00,0.63,0.69,0.63,0.69,0.28,3384367,11351.84289,4359.104057,1415.323,1.33
Albania,1995,5.39,5.51,1.96,2.54,0.89,0.00,2.11,0.11,2.59,0.58,0.12,0.00,0.33,0.59,0.62,0.51,0.06,3357858,12861.63799,4938.864896,1329.417,-0.172
Albania,1996,5.42,5.54,1.97,2.52,0.92,0.00,2.10,0.12,2.60,0.58,0.12,0.00,0.27,0.53,0.61,0.64,0.05,3341043,14032.04705,5388.301602,1418.8,-0.038
Albania,1997,4.93,5.06,1.48,2.49,0.96,0.00,1.67,0.07,2.62,0.58,0.12,0.00,0.24,0.33,0.49,0.57,0.04,3331317,12600.77825,4838.694838,1210.813,0.075
Albania,1998,5.17,5.30,1.71,2.47,0.99,0.00,1.90,0.06,2.63,0.59,0.13,0.00,0.22,0.43,0.73,0.49,0.03,3325456,14201.07709,5453.209083,1306.228,0.795
Albania,1999,6.45,6.58,2.98,2.44,1.03,0.01,3.16,0.07,2.64,0.59,0.13,0.11,0.26,0.54,1.39,0.95,0.02,3317941,15635.38587,6003.9832,1746.515,0.67
Albania,2000,6.62,6.75,3.14,2.41,1.06,0.01,3.27,0.11,2.66,0.59,0.13,0.12,0.32,0.52,1.45,0.96,0.01,3304948,16776.76904,6442.273974,1763.357,1.065
Albania,2001,6.56,7.43,3.20,2.36,1.00,0.01,3.43,0.02,2.52,0.59,0.87,0.13,0.29,0.59,1.53,1.00,0.02,3286084,17951.14287,6893.233152,1782.831,1.532
Albania,2002,6.93,7.81,3.69,2.30,0.93,0.01,3.93,0.02,2.39,0.60,0.88,0.13,0.28,0.50,1.75,1.38,0.02,3263596,18471.72602,7093.136913,1974.729,0.492
Albania,2003,7.28,8.17,4.15,2.25,0.86,0.01,4.13,0.31,2.25,0.60,0.89,0.14,0.37,0.57,1.90,1.27,0.03,3239385,19524.6144,7497.445717,1976.296,0.97
Albania,2004,7.44,8.34,4.44,2.19,0.80,0.01,4.41,0.31,2.12,0.60,0.90,0.15,0.29,0.64,2.27,1.18,0.03,3216197,20676.56665,7939.795015,2171.629,0.444
Albania,2005,7.12,8.03,4.24,2.14,0.73,0.02,4.27,0.27,1.98,0.61,0.91,0.17,0.30,0.55,2.35,1.03,0.03,3196130,21813.77781,8376.48374,2172.426,0.189
Albania,2006,7.01,6.80,4.15,2.12,0.73,0.02,4.18,0.29,1.95,0.61,-0.21,0.14,0.27,0.78,1.90,1.19,0.04,3179573,22904.4667,8795.307928,2068.171,0.345
Albania,2007,7.15,6.95,4.31,2.10,0.72,0.02,4.15,0.47,1.92,0.61,-0.20,0.06,0.33,0.73,2.07,0.98,0.04,3166222,24255.83024,9314.231095,2024.608,1.316
Albania,2008,7.08,6.87,4.27,2.08,0.72,0.02,4.10,0.49,1.88,0.62,-0.21,0.08,0.28,0.60,2.26,0.91,0.04,3156608,26123.52917,10031.42689,2060.872,0.978
Albania,2009,6.79,6.59,4.00,2.06,0.71,0.02,3.76,0.58,1.85,0.62,-0.21,0.05,0.17,0.58,2.20,0.77,0.04,3151185,26985.60563,10362.46398,2068.44,0.91
Albania,2010,7.10,6.90,4.34,2.04,0.71,0.02,3.98,0.68,1.82,0.62,-0.21,0.05,0.09,0.83,2.21,0.81,0.04,3150143,27930.10183,10725.15022,2059.103,1.191
Albania,2011,6.64,6.43,3.87,2.04,0.71,0.02,4.18,0.00,1.82,0.63,-0.21,0.06,0.13,0.87,2.32,0.81,0.04,3153883,28768.00488,11046.90472,2173.105,1.055
Algeria,1990,101.73,103.20,69.60,18.29,13.82,0.03,77.28,3.37,16.78,4.30,1.46,2.45,23.09,7.45,15.65,6.79,24.30,26239708,265613.0865,66766.36531,22187.446,1.266
Algeria,1991,100.28,101.74,68.64,18.86,12.74,0.04,76.68,3.40,15.68,4.51,1.46,2.14,24.06,7.99,16.71,7.73,20.19,26893663,262425.7278,65965.16852,23469.249,0.031
Algeria,1992,99.33,100.80,68.18,19.44,11.67,0.05,76.57,3.47,14.58,4.71,1.46,2.13,24.06,8.39,16.63,7.98,19.51,27535151,267149.397,67152.54308,24117.207,-0.312
Algeria,1993,106.22,107.68,75.56,20.01,10.59,0.06,84.29,3.51,13.48,4.92,1.47,2.02,25.25,8.36,16.79,8.42,25.47,28157560,261539.2576,65742.33916,24109.423,0.552
Algeria,1994,103.42,104.88,73.24,20.58,9.52,0.07,82.54,3.38,12.38,5.12,1.47,2.06,24.93,7.73,15.37,8.36,26.14,28752749,259185.4133,65150.66037,23238.845,0.732
Algeria,1995,104.37,105.84,74.69,21.16,8.44,0.08,83.97,3.80,11.28,5.33,1.47,2.13,25.85,7.88,14.96,8.29,26.98,29315463,269034.4455,67626.38208,24089.185,0.595
Algeria,1996,103.95,105.42,72.78,23.55,7.47,0.15,83.93,3.70,10.37,5.96,1.47,1.99,25.71,7.25,14.82,8.52,27.63,29845208,280064.8537,70399.06272,23477.277,0.846
Algeria,1997,107.33,108.80,74.68,25.95,6.50,0.21,87.24,4.06,9.46,6.59,1.47,1.87,27.68,7.10,14.87,8.20,29.39,30345466,283145.5669,71173.45236,24057.856,1.059
Algeria,1998,110.29,111.76,76.15,28.34,5.52,0.28,90.21,4.32,8.55,7.22,1.47,1.75,27.74,7.22,15.31,8.86,31.08,30820435,297586.001,74803.301,24887.684,1.109
Algeria,1999,115.55,117.02,79.92,30.74,4.55,0.35,95.66,4.39,7.64,7.85,1.47,1.77,29.27,8.38,16.31,9.32,32.39,31276295,307108.7576,77197.00778,26575.834,1.476
Algeria,2000,118.06,119.53,80.94,33.13,3.58,0.41,98.01,4.85,6.72,8.48,1.47,1.94,29.13,8.45,16.68,9.57,34.18,31719449,313865.1525,78895.34249,26997.878,0.82
Algeria,2001,115.40,116.86,77.15,34.31,3.39,0.55,95.21,4.98,6.60,8.60,1.47,1.96,30.15,8.54,16.87,9.77,29.88,32150198,328342.2571,82534.40889,27072.404,1.856
Algeria,2002,122.23,123.69,82.86,35.49,3.20,0.68,101.57,5.45,6.49,8.72,1.47,2.15,32.22,8.97,19.17,10.15,31.06,32572977,346729.4235,87156.33579,28773.003,1.258
Algeria,2003,126.79,128.26,86.29,36.66,3.02,0.82,106.01,5.58,6.37,8.84,1.47,1.87,32.48,9.34,21.55,10.94,31.70,33003442,371693.942,93431.59197,30697.521,1.585
Algeria,2004,128.60,130.07,86.97,37.84,2.83,0.96,106.71,6.70,6.25,8.96,1.47,2.16,31.68,9.94,21.81,11.78,31.49,33461345,387676.7815,97449.15042,30973.89,0.988
Algeria,2005,134.37,135.84,91.62,39.02,2.64,1.09,111.45,7.72,6.13,9.08,1.47,2.33,32.54,10.49,23.93,12.78,31.71,33960903,410549.7116,103198.6503,32334.652,1.264
Algeria,2006,140.04,141.50,96.29,39.59,2.66,1.50,115.58,9.07,6.20,9.19,1.47,2.21,34.16,10.85,25.38,12.49,32.70,34507214,417529.0567,104953.0274,34657.65,1.395
Algeria,2007,148.41,149.88,103.68,40.17,2.67,1.90,122.79,10.06,6.28,9.30,1.47,2.21,33.90,11.87,27.33,13.90,35.79,35097043,431725.0447,108521.43030000001,36792.728,1.22
Algeria,2008,153.67,155.14,107.94,40.74,2.68,2.30,126.70,11.21,6.35,9.41,1.47,2.26,35.22,12.07,28.89,13.79,36.73,35725377,440359.5456,110691.8589,37424.646,1.185
Algeria,2009,163.75,165.22,117.03,41.32,2.70,2.70,135.34,12.46,6.42,9.53,1.47,2.33,36.94,12.30,30.22,17.68,38.20,36383302,447845.6578,112573.6205,40823.003,0.945
Algeria,2010,165.24,166.71,117.53,41.89,2.71,3.10,135.80,13.30,6.50,9.64,1.47,2.43,36.59,13.10,31.41,17.09,37.61,37062820,463968.1015,116626.2708,40104.652,2.265
Algeria,2011,171.05,172.52,121.38,43.36,2.74,3.58,140.42,14.25,6.61,9.76,1.47,2.23,39.60,13.51,32.34,18.85,36.13,37762962,476031.2722,119658.5539,41851.997,1.398
Angola,1990,134.50,174.89,6.46,62.45,65.59,0.00,25.22,0.13,108.65,0.52,40.39,1.05,0.50,1.85,1.01,1.60,20.25,10333844,43729.07332,15988.85434,5883.156,0.687
Angola,1991,133.64,174.03,6.66,62.07,64.91,0.00,26.70,0.13,106.26,0.53,40.39,0.90,0.46,1.72,1.24,1.65,21.64,10652727,43204.32444,15796.98809,6024.041,0.341
Angola,1992,132.37,172.76,6.46,61.68,64.23,0.00,27.78,0.15,103.88,0.54,40.39,0.82,0.40,1.79,1.17,1.60,22.82,11002758,40223.22605,14706.99591,6057.633,0.466
Angola,1993,131.85,172.24,7.00,61.29,63.55,0.00,29.67,0.13,101.50,0.56,40.39,0.92,0.34,2.25,1.20,1.52,24.36,11372156,30288.08922,11074.36792,6273.668,0.256
Angola,1994,130.57,170.96,6.78,60.90,62.88,0.00,30.77,0.13,99.12,0.57,40.39,1.33,0.42,1.68,1.53,1.67,25.48,11743432,31348.17234,11461.9708,6359.436,0.212
Angola,1995,133.59,173.98,10.87,60.52,62.20,0.00,36.16,0.10,96.73,0.58,40.39,1.20,0.41,1.83,1.06,1.72,31.15,12104952,34608.38226,12654.01576,6398.917,0.753
Angola,1996,135.09,175.29,11.47,61.29,62.32,0.01,37.50,0.14,96.84,0.60,40.20,1.04,0.43,1.91,0.98,1.99,32.19,12451945,38484.52108,14071.26552,6630.11,0.37
Angola,1997,136.31,176.18,11.78,62.07,62.45,0.01,38.60,0.16,96.94,0.61,39.87,1.05,0.66,1.77,1.04,2.02,33.11,12791388,41524.79824,15182.8955,6820.913,0.107
Angola,1998,137.15,177.56,11.72,62.85,62.57,0.01,39.29,0.19,97.05,0.62,40.41,0.67,0.61,1.60,0.83,2.15,34.11,13137542,44350.46198,16216.05542,6855.517,1.064
Angola,1999,139.15,179.03,12.81,63.62,62.69,0.02,41.23,0.12,97.15,0.63,39.88,1.18,0.87,1.61,1.14,2.43,35.19,13510616,45787.3281,16741.42313,7247.348,0.417
Angola,2000,140.06,180.35,12.82,64.40,62.82,0.02,42.05,0.12,97.25,0.64,40.29,1.42,0.96,2.02,1.06,2.24,35.76,13924930,47166.4773,17245.68755,7499.003,0.169
Angola,2001,146.12,185.12,13.49,68.62,63.99,0.03,46.45,0.30,98.66,0.71,38.99,1.53,1.06,2.16,1.19,2.42,39.63,14385283,49157.35787,17973.62201,7883.388,0.295
Angola,2002,152.34,192.76,14.31,72.83,65.16,0.03,51.17,0.33,100.07,0.77,40.42,1.32,1.07,2.42,1.47,2.50,43.71,14886574,55951.78588,20457.89875,8304.163,0.735
Angola,2003,162.11,202.93,18.69,77.05,66.33,0.04,59.41,0.39,101.48,0.83,40.82,0.80,1.24,2.48,2.73,2.60,50.37,15421075,58887.8948,21531.44123,9003.654,0.889
Angola,2004,169.32,210.87,20.50,81.26,67.51,0.05,65.13,0.43,102.89,0.89,41.55,1.31,0.89,3.56,3.11,2.70,54.87,15976715,65294.58274,23873.94686,9675.667,0.414
Angola,2005,173.59,215.28,19.37,85.48,68.68,0.06,67.62,0.71,104.30,0.95,41.69,0.91,1.00,2.77,2.43,2.45,58.98,16544376,77218.38463,28233.69924,9355.796,1.021
Angola,2006,182.75,222.16,20.72,93.25,68.71,0.06,76.46,0.75,104.35,1.19,39.41,0.82,1.09,2.25,3.23,3.43,66.46,17122409,93229.63197,34087.96237,10006.357,0.561
Angola,2007,193.23,234.53,23.40,101.01,68.74,0.07,86.66,0.77,104.39,1.42,41.30,1.23,1.21,2.43,3.82,3.84,75.36,17712824,114293.1017,41789.49188,10697.001,0.885
Angola,2008,202.72,242.42,25.08,108.78,68.77,0.08,95.67,0.97,104.44,1.65,39.70,1.32,1.61,2.28,5.10,4.50,82.17,18314441,130085.0926,47563.58733,11584.237,0.501
Angola,2009,212.67,252.34,27.23,116.55,68.81,0.09,105.32,0.99,104.48,1.89,39.66,1.21,2.47,2.49,5.65,5.08,89.63,18926650,133223.9309,48711.25465,12585.724,0.708
Angola,2010,222.22,262.30,28.97,124.32,68.84,0.10,114.73,0.84,104.53,2.12,40.08,1.19,2.63,2.62,6.71,5.41,97.36,19549124,137763.7277,50371.16062,13378.087,1.194
Angola,2011,223.35,263.43,28.46,125.91,68.88,0.11,116.46,0.00,104.62,2.17,40.08,1.16,2.40,2.71,6.82,5.44,99.09,20180490,143162.0915,52344.98821,13576.207,0.88
Argentina,1990,244.73,309.12,106.36,80.40,56.31,1.66,114.22,3.61,117.53,9.39,64.39,2.22,34.09,15.77,28.16,22.99,13.20,32624874,NA,106430.804,46073.714,0.436
Argentina,1991,251.92,316.27,111.64,81.37,57.45,1.46,120.15,3.30,118.80,9.66,64.35,1.50,38.06,15.73,29.67,23.25,13.43,33075194,NA,119915.2783,47487.982,0.261
Argentina,1992,256.10,321.19,113.92,82.33,58.59,1.26,122.17,3.93,120.07,9.92,65.09,1.52,37.57,15.97,31.80,23.53,13.30,33520803,NA,134234.0916,49956.211,-0.261
Argentina,1993,261.64,327.47,117.56,83.29,59.72,1.06,126.08,4.03,121.35,10.19,65.83,1.20,34.53,16.11,35.39,26.16,13.89,33961947,NA,142163.1913,49934.367,0.086
Argentina,1994,270.77,337.34,124.79,84.26,60.86,0.86,133.56,4.15,122.62,10.45,66.57,2.12,31.90,23.20,37.24,27.02,14.20,34399343,NA,150460.1205,53436.2,0.487
Argentina,1995,272.56,339.87,124.68,85.22,62.00,0.66,134.42,3.54,123.89,10.72,67.31,3.29,30.67,23.34,38.28,27.62,14.51,34833168,NA,146179.2147,54036.996,0.259
Argentina,1996,289.09,357.10,138.79,85.74,63.81,0.74,148.91,3.45,125.35,11.38,68.02,3.80,37.11,25.30,39.37,30.23,16.90,35264070,NA,154258.0865,55599.117,0.512
Argentina,1997,292.24,360.94,139.52,86.27,65.63,0.82,148.99,4.40,126.81,12.04,68.70,4.36,35.87,30.62,40.50,27.77,14.24,35690778,NA,166770.032,58532.488,0.759
Argentina,1998,297.62,367.22,142.48,86.79,67.45,0.90,152.05,4.59,128.27,12.69,69.59,4.29,37.01,31.53,42.42,28.00,13.09,36109342,NA,173190.9765,60078.965,0.351
Argentina,1999,302.03,372.29,144.47,87.31,69.27,0.97,154.22,4.72,129.74,13.35,70.25,4.28,41.39,30.27,41.09,28.92,12.55,36514558,NA,167327.6704,60415.907,0.16
Argentina,2000,303.18,374.09,143.21,87.83,71.09,1.05,153.71,4.27,131.20,14.01,70.91,4.31,41.77,30.26,40.21,29.32,12.15,36903067,NA,166007.4569,60953.89,-0.186
Argentina,2001,294.88,364.29,132.61,88.66,72.33,1.27,143.57,4.21,132.94,14.15,69.41,4.14,35.70,30.97,36.49,28.11,12.30,37273361,NA,158688.4542,57835.495,0.425
Argentina,2002,289.29,359.47,124.72,89.49,73.58,1.49,136.68,3.63,134.69,14.29,70.19,3.69,33.26,29.43,33.98,27.21,12.80,37627545,NA,141400.1647,55386.173,0.278
Argentina,2003,302.51,372.99,135.65,90.32,74.82,1.71,147.13,4.51,136.44,14.43,70.48,3.73,37.10,32.31,34.87,29.48,13.37,37970411,NA,153895.7549,59047.312,0.635
Argentina,2004,321.17,392.80,152.02,91.15,76.07,1.94,163.16,5.25,138.19,14.57,71.63,3.83,45.76,36.01,36.24,32.08,13.07,38308779,NA,167791.8849,67302.736,0.47
Argentina,2005,328.34,399.90,156.90,91.98,77.31,2.16,167.55,6.15,139.93,14.71,71.56,4.33,48.02,34.95,37.89,33.84,12.85,38647854,NA,183193.4185,66973.091,0.281
Argentina,2006,339.82,401.27,166.80,92.81,77.81,2.40,176.97,7.06,140.90,14.87,61.45,3.63,50.60,38.06,39.86,35.45,13.01,38988923,NA,198702.6882,73128.145,0.596
Argentina,2007,348.19,409.20,173.60,93.65,78.31,2.63,183.64,7.66,141.87,15.03,61.01,4.21,55.84,37.96,40.55,35.85,13.44,39331357,NA,215897.1011,73672.983,-0.169
Argentina,2008,360.89,422.99,184.73,94.48,78.81,2.87,194.90,7.96,142.84,15.19,62.10,4.37,61.28,36.69,43.27,40.06,13.60,39676083,NA,230488.3759,77793.834,0.601
Argentina,2009,356.07,418.77,178.33,95.32,79.31,3.11,188.54,8.36,143.80,15.35,62.71,4.39,61.84,34.76,38.90,39.25,13.80,40023641,NA,232448.0837,76075.126,0.857
Argentina,2010,363.79,426.03,184.48,96.16,79.80,3.35,194.89,8.62,144.77,15.52,62.23,5.70,62.83,33.94,44.95,39.26,13.90,40374224,NA,253742.4595,78162.085,0.135
Argentina,2011,372.46,434.69,190.65,97.20,81.00,3.60,200.56,9.44,146.79,15.67,62.23,6.28,67.32,35.89,46.86,36.62,13.87,40728738,NA,276248.28370000003,80112.354,0.386
Australia,1990,426.06,437.60,263.97,123.31,33.49,5.29,289.20,9.94,109.11,17.79,11.54,6.43,140.66,45.98,61.39,15.93,25.24,17065100,483545.3264,425869.6997,86226.02,0.549
Australia,1991,424.57,436.11,264.89,121.68,33.07,4.93,290.67,9.18,107.14,17.59,11.55,6.40,143.24,46.12,59.97,16.11,25.23,17284000,481848.495,424375.8413,85155.422,0.82
Australia,1992,425.39,436.94,268.13,120.05,32.64,4.56,294.30,8.55,105.16,17.39,11.56,6.78,145.40,45.73,61.45,16.65,25.07,17495000,483911.9584,426193.1844,86731.877,0.281
Australia,1993,427.03,438.60,272.20,118.42,32.22,4.20,298.36,8.31,103.19,17.19,11.56,7.34,146.81,46.86,62.54,17.16,25.00,17667000,503804.7255,443713.2345,91174.201,0.484
Australia,1994,431.08,442.65,278.66,116.80,31.79,3.83,304.36,8.52,101.21,16.98,11.57,7.73,149.53,48.67,64.17,17.14,24.85,17855000,524201.1153,461676.8375,91261.344,0.221
Australia,1995,438.97,450.55,288.97,115.17,31.36,3.47,314.72,8.24,99.24,16.78,11.58,8.54,155.62,49.51,66.85,17.93,24.81,18072000,545115.0254,480096.2335,92558.819,0.413
Australia,1996,454.23,465.78,299.31,117.00,34.19,3.73,325.71,8.45,103.67,16.39,11.56,9.03,162.79,49.75,69.31,18.39,25.47,18311000,566884.6309,499269.2614,98946.369,0.604
Australia,1997,466.83,478.28,306.99,118.83,37.01,3.99,333.83,8.88,108.11,16.00,11.45,9.04,167.46,51.12,70.66,18.71,25.88,18517000,588996.3822,518743.6256,101289.616,0.383
Australia,1998,491.68,503.18,326.93,120.66,39.83,4.26,354.09,9.42,112.55,15.60,11.50,9.41,186.30,51.73,70.66,19.11,26.29,18711000,615643.3853,542212.2977,103935.11,1.092
Australia,1999,506.61,518.05,336.94,122.50,42.65,4.52,364.35,10.06,116.99,15.21,11.44,9.74,194.29,51.83,72.03,19.18,27.02,18926000,646144.6575,569075.5197,106191.638,0.58
Australia,2000,517.66,529.12,343.08,124.33,45.48,4.78,371.00,10.42,121.43,14.82,11.46,10.11,197.30,52.56,74.25,19.59,27.30,19153000,670995.5606,590962.3223,108109.901,0.148
Australia,2001,526.43,574.61,355.52,122.22,43.35,5.33,383.62,11.16,117.09,14.56,48.18,10.52,210.70,52.04,73.66,19.86,27.36,19413000,683740.988,602187.5342,105750.7,0.336
Australia,2002,530.16,578.24,362.93,120.12,41.23,5.88,391.19,11.92,112.75,14.30,48.07,8.69,227.05,40.27,75.36,20.96,27.55,19651400,710496.5247,625751.7946,109461.303,0.736
Australia,2003,529.53,579.58,365.98,118.02,39.11,6.43,394.19,12.89,108.41,14.04,50.05,8.70,220.00,48.16,75.63,22.65,27.75,19895400,732883.581,645468.6266,110814.216,0.835
Australia,2004,540.54,588.44,380.67,115.91,36.98,6.98,409.07,13.63,104.06,13.78,47.90,9.89,230.21,49.99,78.37,22.60,27.90,20127400,763279.6285,672239.1745,112695.854,0.723
Australia,2005,541.03,588.90,384.83,113.81,34.86,7.53,413.17,14.61,99.72,13.52,47.87,10.82,234.68,48.81,78.52,23.07,28.09,20394800,787604.4079,693662.6071,113503.112,1.211
Australia,2006,546.55,573.67,389.66,114.24,34.87,7.77,418.70,15.23,98.97,13.65,27.12,11.41,238.82,47.56,80.41,22.84,29.07,20697900,811569.1732,714768.9664,115019.694,0.721
Australia,2007,557.37,585.24,399.79,114.68,34.89,8.02,429.68,15.69,98.22,13.78,27.86,11.78,245.80,48.21,82.72,22.95,30.00,20827600,842311.3373,741844.3477,118654.986,0.929
Australia,2008,560.67,589.55,402.39,115.12,34.90,8.26,433.13,16.15,97.48,13.91,28.88,12.07,244.95,49.72,84.40,23.08,30.98,21249200,874057.4378,769803.9206,122518.59,0.625
Australia,2009,568.57,599.03,409.59,115.56,34.92,8.50,441.38,16.41,96.73,14.04,30.47,12.04,256.28,46.34,83.32,23.44,31.99,21691700,888463.298,782491.5166,122107.911,1.03
Australia,2010,560.64,592.48,400.96,116.00,34.93,8.75,433.82,16.68,95.98,14.16,31.84,12.34,245.35,47.48,84.25,23.74,33.00,22031800,907010.6446,798826.6217,122512.094,0.673
Australia,2011,563.45,595.30,401.75,117.18,35.15,9.37,435.11,17.35,96.66,14.33,31.84,12.16,241.70,49.91,86.02,23.96,33.52,22340000,929080.0413,818263.6831,122887.653,0.208
Austria,1990,74.93,62.16,58.88,8.36,6.26,1.44,57.66,5.04,8.68,3.56,-12.78,0.86,19.78,10.08,13.64,13.95,0.21,7677850,231845.9817,215290.205,24841.985,1.262
Austria,1991,79.00,66.21,63.06,8.22,6.33,1.39,61.79,5.04,8.70,3.46,-12.80,0.96,20.66,10.59,15.03,15.30,0.21,7754891,239825.2565,222699.6917,26443.777,0.125
Austria,1992,74.00,61.17,58.17,8.07,6.41,1.35,56.92,5.00,8.72,3.36,-12.83,1.04,17.38,9.67,15.04,14.62,0.22,7840709,244846.0576,227361.9648,25406.733,1.248
Austria,1993,74.17,61.30,58.44,7.93,6.48,1.31,57.26,4.90,8.75,3.27,-12.87,1.10,17.47,10.08,15.18,14.31,0.22,7905633,246135.9298,228559.7291,25696.45,0.527
Austria,1994,74.19,61.28,58.57,7.79,6.56,1.27,57.47,4.79,8.77,3.17,-12.90,1.14,18.85,9.84,15.24,13.31,0.22,7936118,252048.4072,234050.0053,25630.794,1.958
Austria,1995,76.81,63.87,61.30,7.65,6.63,1.23,60.68,4.25,8.79,3.07,-12.94,1.28,20.43,10.12,15.45,14.46,0.23,7948278,258773.0175,240294.4212,26770.582,0.939
Austria,1996,80.29,67.31,65.06,7.45,6.56,1.21,64.44,4.27,8.63,2.96,-12.98,1.42,20.94,10.36,17.07,15.85,0.22,7959017,265156.0264,246221.6289,28445.158,-0.203
Austria,1997,79.28,66.27,64.34,7.25,6.50,1.19,63.70,4.26,8.47,2.85,-13.01,1.47,21.32,11.68,16.15,14.33,0.22,7968041,271278.2428,251906.6669,28242.217,0.514
Austria,1998,79.50,66.45,64.84,7.05,6.43,1.18,64.20,4.26,8.30,2.73,-13.05,1.54,20.46,10.90,18.25,14.37,0.22,7976789,281547.5966,261442.7015,28723.398,1.343
Austria,1999,77.64,64.56,63.27,6.85,6.36,1.16,62.64,4.24,8.14,2.62,-13.08,1.49,19.58,10.21,17.76,14.88,0.22,7992324,291511.9259,270695.4928,28653.351,0.986
Austria,2000,77.67,64.55,63.58,6.65,6.29,1.14,62.96,4.22,7.98,2.51,-13.12,1.63,19.21,11.30,18.50,13.74,0.21,8011566,302203.3847,280623.4905,28557.85,1.769
Austria,2001,81.60,64.32,67.76,6.54,6.11,1.18,67.14,4.12,7.86,2.46,-17.28,1.59,20.98,11.05,19.97,14.92,0.22,8042293,304794.4844,283029.5636,30176.647,1.501
Austria,2002,82.93,65.62,69.35,6.44,5.93,1.21,68.69,4.07,7.75,2.42,-17.32,1.49,21.44,10.96,21.84,14.23,0.22,8081957,309956.8796,287823.3198,30447.265,1.531
Austria,2003,87.86,70.50,74.52,6.33,5.75,1.25,73.90,3.94,7.64,2.37,-17.36,1.41,23.58,11.70,23.40,14.99,0.23,8121423,312640.8565,290315.6379,32213.843,1.464
Austria,2004,88.95,71.55,75.87,6.22,5.57,1.29,75.04,4.07,7.52,2.33,-17.40,1.67,24.16,12.38,23.73,14.54,0.23,8171966,320736.9411,297833.5932,32690.156,0.829
Austria,2005,89.77,72.33,76.94,6.11,5.39,1.33,76.01,4.06,7.41,2.28,-17.44,1.89,24.72,12.62,24.45,13.99,0.24,8227829,328436.7842,304983.6019,33791.722,0.628
Austria,2006,87.76,92.36,74.92,6.01,5.46,1.37,73.83,4.28,7.45,2.20,4.61,1.98,24.35,12.61,23.18,13.45,0.23,8268641,340489.7255,316175.8606,33799.276,0.907
Austria,2007,85.45,90.08,72.60,5.91,5.52,1.42,71.32,4.53,7.49,2.11,4.63,2.10,23.93,12.11,23.37,11.68,0.23,8300788,353108.1002,327893.176,33393.256,2.137
Austria,2008,86.11,90.75,73.26,5.81,5.58,1.46,71.91,4.65,7.52,2.03,4.64,2.11,23.96,13.41,22.04,12.27,0.23,8336926,358179.6474,332602.5715,33545.198,1.582
Austria,2009,79.39,84.05,66.53,5.71,5.65,1.51,65.50,4.39,7.56,1.94,4.66,1.83,20.46,12.28,21.47,11.07,0.23,8365275,344490.3997,319890.8526,31963.281,1.544
Austria,2010,85.06,89.73,72.18,5.61,5.71,1.55,71.34,4.27,7.60,1.86,4.67,1.98,24.43,12.25,22.16,12.27,0.23,8389771,350585.017,325550.2624,34228.207,0.656
Austria,2011,83.70,88.37,70.70,5.62,5.76,1.62,69.77,4.42,7.65,1.86,4.67,2.06,24.69,12.16,21.62,11.07,0.23,8406187,360521.9103,334777.5768,33018.807,1.373
Bangladesh,1990,63.44,95.07,13.74,37.86,11.83,0.01,15.76,0.18,35.07,12.44,31.63,0.33,4.44,4.51,1.65,5.16,0.00,107385847,114640.4848,28954.13055,12735.601,-0.149
Bangladesh,1991,63.67,95.30,12.97,38.17,12.52,0.01,15.03,0.15,35.76,12.72,31.63,0.32,4.58,3.65,1.81,4.99,0.00,109934590,118468.7381,29921.01191,12556.296,-0.024
Bangladesh,1992,65.94,97.56,14.23,38.48,13.21,0.01,16.34,0.15,36.45,13.00,31.63,0.28,5.18,3.91,2.09,5.16,0.00,112430968,124438.5356,31428.77153,13253.018,-0.146
Bangladesh,1993,68.26,99.89,15.55,38.80,13.90,0.01,17.68,0.15,37.15,13.29,31.63,0.32,5.77,4.45,2.15,5.31,0.00,114897543,130130.8215,32866.44157,13989.482,-0.446
Bangladesh,1994,70.43,102.06,16.71,39.11,14.59,0.02,18.86,0.15,37.84,13.57,31.63,0.36,6.07,5.07,2.19,5.53,0.00,117369492,135446.2798,34208.93827,14611.203,0.175
